date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:46	46709/46709	---MCZ	200	added ('OK')	text/html	etag:%225e4dba7648d50afdc64fcb9a29e2203e-ssl-df%22	https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/dashboard-defaultd976.html	(from )
01:01:46	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1607446898-ssl-df	https://appstack-bs5.bootlab.io/robots.txt		(from )
01:01:47	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2239e53393f7e8def0ddecde17594db0ce-ssl%22	https://appstack-bs5.bootlab.io/img/favicon.ico	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/img/favicon.ico	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:49	38121/38121	---MCZ	200	added ('OK')	application/javascript	etag:%226124c203d4438576065dc63ce033431c-ssl-df%22	https://appstack-bs5.bootlab.io/js/settings.js	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/js/settings.js	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:49	473178/473178	---MCZ	200	added ('OK')	text/css	etag:%222df40c255fd2bc3a8e56fb78e207a5c0-ssl-df%22	https://appstack-bs5.bootlab.io/css/light.css	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/css/light.css	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:49	20709/20709	---MCZ	200	added ('OK')	text/html	etag:%2277ea15f185bc23f163dbb4820b7a9054-ssl-df%22	https://appstack-bs5.bootlab.io/index.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/index.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:50	46709/46709	---M-Z	200	added ('OK')	text/html	etag:%225e4dba7648d50afdc64fcb9a29e2203e-ssl-df%22	https://appstack-bs5.bootlab.io/dashboard-default.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/dashboard-default.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:51	49644/49644	---MCZ	200	added ('OK')	text/html	etag:%2228a4aa2b9166601789a5607dcacaa743-ssl-df%22	https://appstack-bs5.bootlab.io/dashboard-analytics.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/dashboard-analytics.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:51	41759/41759	---MCZ	200	added ('OK')	text/html	etag:%2275f7d001262d3d0d5487e3fd37153058-ssl-df%22	https://appstack-bs5.bootlab.io/dashboard-saas.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/dashboard-saas.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:52	39420/39420	---MCZ	200	added ('OK')	text/html	etag:%22b147fb62330d9ad1d89452e9f5a129e0-ssl-df%22	https://appstack-bs5.bootlab.io/dashboard-social.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/dashboard-social.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:53	47274/47274	---MCZ	200	added ('OK')	text/html	etag:%22d7231db227bc4fa64afc07eb7b5731c4-ssl-df%22	https://appstack-bs5.bootlab.io/dashboard-crypto.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/dashboard-crypto.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:53	36123/36123	---MCZ	200	added ('OK')	text/html	etag:%2241bc07daa39f9face54999394c32f717-ssl-df%22	https://appstack-bs5.bootlab.io/pages-profile.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/pages-profile.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:54	35352/35352	---MCZ	200	added ('OK')	text/html	etag:%2286c67ba4ef5cbd5cf48dd50dbc004acf-ssl-df%22	https://appstack-bs5.bootlab.io/pages-settings.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/pages-settings.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:55	38938/38938	---MCZ	200	added ('OK')	text/html	etag:%22346ef39870a1f91b327ea2ae285146a5-ssl-df%22	https://appstack-bs5.bootlab.io/pages-clients.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/pages-clients.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:55	42672/42672	---MCZ	200	added ('OK')	text/html	etag:%222802fad8cb8ac87ee4360a654a2b70cd-ssl-df%22	https://appstack-bs5.bootlab.io/pages-projects-list.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/pages-projects-list.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:56	41021/41021	---MCZ	200	added ('OK')	text/html	etag:%22cf715de943d989a9279516c81c0d015d-ssl-df%22	https://appstack-bs5.bootlab.io/pages-projects-detail.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/pages-projects-detail.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:56	30865/30865	---MCZ	200	added ('OK')	text/html	etag:%227484911cdf69d530298392faf145a376-ssl-df%22	https://appstack-bs5.bootlab.io/pages-invoice.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/pages-invoice.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:57	36685/36685	---MCZ	200	added ('OK')	text/html	etag:%224d1fc8511fc99206399de31b59895083-ssl-df%22	https://appstack-bs5.bootlab.io/pages-pricing.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/pages-pricing.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
01:01:58	40555/40555	---MCZ	200	added ('OK')	text/html	etag:%22902abec6019f0bf0770ce0d829e28fe2-ssl-df%22	https://appstack-bs5.bootlab.io/pages-tasks.html	C:/Users/mhmmd/Desktop/Template/SafetyPanelTemplate/appstack-bs5.bootlab.io/pages-tasks.html	(from https://appstack-bs5.bootlab.io/dashboard-default.html?theme=default)
